"risk.k"	"alpha.at.conception.k"	"sire.k"	"infant.ID.k"	"infant.name.k"	"infant.DOB.k"	"infant.DOC.k"	"infant.mother.k"	"infant.sex.k"	"infant.birthgroup.k"	"infant.DOD.k"	"infant.CauseOfDeath.k"	"infant.alive.k"	"infant.AgeAtDeath.k"	"takeover.date.k"	"infant.ageattakeover.k"	"infant.over1yr.k"
"102"	"GS"	"Artemis"	""	409	"Gryphon"	2009-04-28	2008-11-19	"Callisto F"	"M"	"EXCL"	NA	""	-1	NA	"12-03-07"	"1044"	"Y"
"103"	"GS"	"Artemis"	""	412	"Pegasus"	2009-05-01	2008-11-22	"Athena F"	"F"	"EXCL"	2009-10-25	"Unknown"	0	177	"12-03-07"	"1041"	"Y"
"104"	"GS"	"Artemis"	""	416	"Orion"	2009-06-20	2009-01-11	"Helen F"	"M"	"EXCL"	NA	""	-1	NA	"12-03-07"	"991"	"Y"
"105"	"GS"	"Artemis"	""	445	"Zephyrus"	2010-07-01	2010-01-22	"Electra F"	"M"	"EXCL"	NA	""	-1	NA	"12-03-07"	"615"	"Y"
"106"	"AMR"	"Artemis"	""	524	"Prometheus"	2011-05-07	2010-11-28	"Callisto F"	"M"	"EXCL"	NA	""	-1	NA	"12-03-07"	"305"	"N"
"107"	"AMR"	"Artemis"	""	531	"Hector"	2011-07-09	2011-01-30	"Helen F"	"M"	"EXCL"	NA	""	-1	NA	"12-03-07"	"242"	"N"
"108"	"AMR"	"Artemis"	""	700	"Poseidon"	2012-07-26	2012-02-17	"Callisto F"	"M"	"EXCL"	NA	""	-1	NA	"12-03-07"	"-141"	""
"109"	"GS"	"voldemort"	""	702	"Ersa"	2013-01-02	2012-07-26	"Electra F"	"F"	"EXCL"	NA	""	-1	NA	""	""	""
"110"	"GS"	"Right M"	""	29	"Browspot"	1986-01-01	1985-07-25	"BushyBrows F"	"M"	"SEND"	1991-04-15	"Unknown"	0	1930	"89-04-01"	"1186"	"Y"
"111"	"GS"	"Right M"	""	204	"Spike"	1987-02-02	1986-08-26	"Charlotte F"	"M"	"SEND"	1999-05-12	"Unknown"	0	4482	"89-04-01"	"789"	"Y"
"112"	"GS"	"Right M"	""	69	"Ears"	1988-02-26	1987-09-19	"BushyBrows F"	"M"	"SEND"	1995-09-15	"Unknown"	0	2758	"89-04-01"	"400"	"Y"
"113"	"AMR"	"Right M"	""	165	"Pinky89"	1989-02-06	1988-08-30	"Pinky F"	"M"	"SEND"	1989-07-01	"Unknown"	0	145	"89-04-01"	"54"	"N"
"114"	"GS"	"Stump"	""	85	"Garth"	1989-11-18	1989-06-11	"Charlotte F"	"M"	"SEND"	1999-09-15	"Unknown"	0	3588	"91-04-01"	"499"	"N"
"115"	"GS"	"Stump"	""	166	"Pinky90"	1990-01-01	1989-07-25	"Pinky F"	"M"	"SEND"	1991-06-15	"Unknown"	0	530	"91-04-01"	"455"	"N"
"116"	"GS"	"Stump"	""	32	"BushyBrows90"	1990-02-15	1989-09-08	"BushyBrows F"	"M"	"SEND"	1991-05-01	"Infanticide"	0	440	"91-04-01"	"410"	"N"
